,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime
5052,2021,21,vettel,vettel,5,17,16,R,0,44,,,41,,Collision damage,1:34.030
5053,2021,21,perez,perez,11,5,17,R,0,14,,,9,,Collision,1:34.138
5054,2021,21,mazepin,mazepin,9,20,18,R,0,14,,,7,,Collision,1:37.043
5055,2021,21,russell,russell,63,14,19,R,0,14,,,7,,Collision,1:36.130
5056,2021,21,mick_schumacher,mick_schumacher,47,19,20,R,0,8,,,8,,Accident,1:36.043
5057,2021,22,max_verstappen,max_verstappen,33,1,1,1,26,58,1:30:17.345,5417345,39,,Finished,1:26.103
5058,2021,22,hamilton,hamilton,44,2,2,2,18,58,+2.256,5419601,43,,Finished,1:26.615
5059,2021,22,sainz,sainz,55,5,3,3,15,58,+5.173,5422518,51,,Finished,1:27.618
5060,2021,22,tsunoda,tsunoda,22,8,4,4,12,58,+5.692,5423037,50,,Finished,1:27.496
5061,2021,22,gasly,gasly,10,12,5,5,10,58,+6.531,5423876,49,,Finished,1:27.342
5062,2021,22,bottas,bottas,77,6,6,6,8,58,+7.463,5424808,51,,Finished,1:26.862
5063,2021,22,norris,norris,4,3,7,7,6,58,+59.200,5476545,58,,Finished,1:26.762
5064,2021,22,alonso,alonso,14,11,8,8,4,58,+1:01.708,5479053,58,,Finished,1:27.607
5065,2021,22,ocon,ocon,31,9,9,9,2,58,+1:04.026,5481371,58,,Finished,1:28.249
5066,2021,22,leclerc,leclerc,16,7,10,10,1,58,+1:06.057,5483402,40,,Finished,1:28.433
5067,2021,22,vettel,vettel,5,15,11,11,0,58,+1:07.527,5484872,58,,Finished,1:28.303
5068,2021,22,ricciardo,ricciardo,3,10,12,12,0,57,,,48,,+1 Lap,1:28.723
5069,2021,22,stroll,stroll,18,13,13,13,0,57,,,48,,+1 Lap,1:28.567
5070,2021,22,mick_schumacher,mick_schumacher,47,19,14,14,0,57,,,42,,+1 Lap,1:29.457
5071,2021,22,perez,perez,11,4,15,15,0,55,,,51,,Engine,1:26.419
5072,2021,22,latifi,latifi,6,16,16,R,0,50,,,30,,Accident,1:29.293
5073,2021,22,giovinazzi,giovinazzi,99,14,17,R,0,33,,,33,,Gearbox,1:29.442
5074,2021,22,russell,russell,63,17,18,R,0,26,,,23,,Gearbox,1:30.647
5075,2021,22,raikkonen,raikkonen,7,18,19,R,0,25,,,23,,Brakes,1:29.698
5076,2021,22,mazepin,mazepin,9,20,20,W,0,0,,,,,Illness,
5077,2022,1,leclerc,leclerc,16,1,1,1,26,57,1:37:33.584,5853584,51,,Finished,1:34.570
5078,2022,1,sainz,sainz,55,3,2,2,18,57,+5.598,5859182,52,,Finished,1:35.740
5079,2022,1,hamilton,hamilton,44,5,3,3,15,57,+9.675,5863259,53,,Finished,1:36.228
5080,2022,1,russell,russell,63,9,4,4,12,57,+11.211,5864795,56,,Finished,1:36.302
5081,2022,1,kevin_magnussen,kevin_magnussen,20,7,5,5,10,57,+14.754,5868338,53,,Finished,1:36.623
