year,circuitId,name,location,country,lat,lng,alt,url
1966,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
1966,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1966,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1966,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1966,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1966,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,Mexico City,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
1966,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1966,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1966,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1967,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1967,lemans,Le Mans,Le Mans,France,47.95,0.224231,Le Mans,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
1967,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1967,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1967,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,Ontario,http://en.wikipedia.org/wiki/Mosport
1967,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1967,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,Mexico City,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
1967,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1967,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1967,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1967,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1968,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
1968,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,Rouen,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
1968,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,Madrid,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
1968,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1968,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1968,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1968,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1968,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,Mexico City,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
1968,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1968,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,Quebec,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
1968,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1968,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1969,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,Clermont-Ferrand,http://en.wikipedia.org/wiki/Charade_Circuit
1969,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1969,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1969,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,Barcelona,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
1969,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1969,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,Ontario,http://en.wikipedia.org/wiki/Mosport
1969,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1969,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,Mexico City,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
1969,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1969,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
